Uncleaned Order Data
//ord_09004//Tanvi Gupta-161BTM Layout//Anil Gupta*Burger+1+/7/1/2023//Online Payment//Delivered+On Time Delivery
"//ord_15001//Deepak Sharma-197HSR Layout//Manoj Singh*Butter Naan+4+/10/8/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_13002//Karan Sharma-216Marathahalli//Sneha Verma*Tandoori Chicken+3+/3/8/2023//Credit Card//Delivered+On Time Delivery
//ord_11003//Anjali Jain-288Malleswaram//Manoj Singh*Chicken Curry+2+/4/25/2023//Online Payment//Delivered+On Time Delivery
"//ord_07005//Deepak Sharma-197HSR Layout//Divya Patel*Butter Naan+4+/9/28/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_05006//Aryan Shah-113Jayanagar//Anil Gupta*Sushi+1+/5/20/2023//UPI//Delivered+Good Service
"//ord_03007//Karan Sharma-216Marathahalli//Pooja Sharma*Tandoori Chicken+3+/5/20/2023//UPI//Delivered+Fast delivery, fresh food"
"//ord_01008//Rahul Sharma-215MG Road//Pooja Sharma*Sushi+1+/8/31/2023//COD//Delivered+Fast delivery, fresh food"
"//ord_00991//Kriti Patel-227Whitefield//Pooja Sharma*Fish Biryani+2+/8/12/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_02990//Neha Ramachandran-128Marathahalli//Anil Gupta*Pizza+1+/12/23/2023//Credit Card//Delivered+Good Service
//ord_04989//Shreya Singh-268Marathahalli//Divya Patel*Chicken Biryani+2+/3/10/2023//Credit Card//Cancelled+Delayed Delivery
//ord_06988//Priya Singh-199Brigade Road//Ananya Reddy*Chicken Biryani+2+/7/25/2023//Online Payment//Delivered+Good Service
//ord_08987//Vaishnavi M-111Brigade Road//Pooja Sharma*Tandoori Chicken+2+/8/23/2023//UPI//Delivered+On Time Delivery
"//ord_10986//Kriti Patel-227Whitefield//Rajesh Kumar*Pav Bhaji+2+/7/24/2023//Online Payment//Delivered+Fast delivery, fresh food"
"//ord_12985//Rohit Singh-165Indiranagar//Ananya Reddy*Paneer Tikka+1+/4/26/2023//COD//Delivered+Fast delivery, fresh food"
//ord_14984//Ajay Venkat-117Jayanagar//Rajesh Kumar*Butter Chicken+2+/7/21/2023//Credit Card//Delivered+Good Service
//ord_16983//Arpana P -286Jayanagar//Anil Gupta*Veg Biryani+2+/5/17/2022//Credit Card//Delivered+Good Service
"//ord_18982//Manohar Joshy-279Marathahalli//Manoj Singh*Paneer Tikka+2+/8/26/2023//Online Payment//Delivered+Fast delivery, fresh food"
"//ord_20981//Ajay Venkat-117Jayanagar//Rajesh Kumar*Chicken Tikka+2+/7/26/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_22980//Anjali Jain-288Malleswaram//Anil Gupta*Hakka Noodles+1+/5/27/2023//Credit Card//Delivered+Good Service
//ord_24979//Alice Jose-275Marathahalli//Pooja Sharma*Tandoori Chicken+2+/7/30/2023//COD//Delivered+Good Service
//ord_26978//Abhaya S Shankar-206Brigade Road//Siddharth Singh*Pasta+3+/12/26/2023//UPI//Delivered+On Time Delivery
"//ord_28977//Abhaya S Shankar-206Brigade Road//Siddharth Singh*Chicken Fried Rice+4+/12/6/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_30976//Anjali Jain-288Malleswaram//Divya Patel*Paneer Tikka+1+/1/16/2023//Online Payment//Delivered+Good Service
